SEQFAMILIA;NRODIVISAO;PADRAOEMBTRANSF;PADRAOEMBCOMPRA;SEQCOMPRADOR;NROTRIBUTACAO;FINALIDADEFAMILIA;FORMAABASTECIMENTO;LOCCATALOGOIMPR;CODSUBSTTRIBUT;MARGEMLUCRODIVISAO;PERDESPESADIVISAO;FATORATENDIMENTO;DTAHORINCLUSAO;USUARIOINCLUSAO;DTAHORALTERACAO;USUARIOALTERACAO;PERCDIFPRECOEMB;INDREPLICACAO;INDGEROUREPLICACAO;INDCALCIPISAIDA;PERBASEIPISAIDA;PERISENTOIPISAIDA;PEROUTROIPISAIDA;PERALIQUOTAIPISAIDA;VLRIPIPAUTASAIDA;CODORIGEMTRIB;EXIGESENHAVENDA;GRUPOCONTABIL;SEQPAUTA;CODTARE;SEQVALERECIBO;INDNEGAVARIACENTRAL;CODGISS;CODDES;CFPS;CODREA;INDRECSTCALCAPUR;INDMERCENQUADST;CODATIVIDADE;SEQPAUTAICMS;NROBASEEXPORTACAO;INDRESSARCSTSN;INDUSADADOSREGCGO;MGMSUGESTAOPRWEBFAM;INDCALCDIFALIQ;INDUTILFORMPCOVDAAJIPI;DIAVENCTOST;INDCTACESTABASICA;SEQTABELA;SEQPAUTAICMSANTEC;NROTRIBUTACAOAPROVACAO;NROTRIBUTACAOAUX;SEQPAUTAAUX;SEQPAUTAICMSAUX;INDCALCCOMPRESSARCVDACONSFINAL;INDCALCOUTORGADO;INDUSABASECALCIPIART195;NROBASEEXPORTACAOERP
1211;1;30;30;3;1;R;M;;;35;0;1;2024-11-21-14.18.59.000000;LUSENA;2025-07-21-17.10.24.000000;DAVIDS.ETC;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
1214;1;20;20;3;1;R;M;;;18;0;1;2024-11-21-16.44.14.000000;LUSENA;2025-07-21-17.10.24.000000;DAVIDS.ETC;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
1241;1;1;1;3;1;R;M;;;18;0;1;2024-11-25-16.57.45.000000;LUSENA;2025-08-08-09.18.17.000000;GADELE;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
1244;1;12;12;3;1;R;M;;;35;0;1;2024-11-25-17.48.20.000000;LUSENA;2026-01-09-14.08.36.000000;JORSALDA;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
1294;1;21;21;3;1;R;L;;;43;0;1;2024-11-27-16.11.52.000000;LUSENA;2026-08-13-17.31.00.000000;ALSOARES;;S;;N;;;;;;;;;;;;;;;;;;N;;;5593627;;S;0;;;;;;;;;;;N;;N;0
1316;1;20;20;3;1;R;L;;;30;0;1;2024-11-28-14.13.34.000000;LUSENA;2026-08-13-15.14.37.000000;ALSOARES;;S;;N;;;;;;;;;;;;;;;;;;N;;;5593479;;S;0;;;;;;;;;;;N;;N;0
1319;1;30;30;3;1;R;L;;;30;0;1;2024-11-28-14.49.10.000000;LUSENA;2026-08-13-15.15.29.000000;ALSOARES;;S;;N;;;;;;;;;;;;;;;;;;N;;;5593481;;S;0;;;;;;;;;;;N;;N;0
1321;1;30;30;3;1;R;L;;;30;0;1;2024-11-28-15.13.53.000000;LUSENA;2026-08-13-15.16.45.000000;ALSOARES;;S;;N;;;;;;;;;;;;;;;;;;N;;;5593483;;S;0;;;;;;;;;;;N;;N;0
171;1;12;12;4;92;R;M;;;20;0;1;2024-09-18-10.10.42.000000;CARIOS;2025-07-16-17.15.51.000000;DAVIDS.ETC;;S;;N;;;;;;;;;;;;;;;;;;S;;;5453151;;S;0;;;;;;;;;;;S;;N;0
486;1;24;24;4;63;R;M;;;28;0;1;2024-10-14-10.09.27.000000;CARIOS;2025-07-16-17.15.54.000000;DAVIDS.ETC;;S;;N;;;;;;;;;34;;;;;;;;;S;;;5453151;;S;0;;;;;;;;;;;S;;N;0
487;1;24;24;4;63;R;M;;;28;0;1;2024-10-14-10.22.36.000000;CARIOS;2025-07-16-17.15.54.000000;DAVIDS.ETC;;S;;N;;;;;;0;;;34;;;;;;;;;S;;;5453151;;S;0;;;;;;;;;;;S;;N;0
489;1;12;12;4;63;R;M;;;28;0;1;2024-10-14-10.44.00.000000;CARIOS;2025-07-16-17.15.54.000000;DAVIDS.ETC;;S;;N;;;;;;0;;;33;;;;;;;;;S;;;5453151;;S;0;;;;;;;;;;;S;;N;0
492;1;6;6;4;85;R;M;;;28;0;1;2024-10-14-11.26.02.000000;CARIOS;2025-07-16-17.15.54.000000;DAVIDS.ETC;;S;;N;;;;;;0;;;354;;;;;;;;;S;;;5453151;;S;0;;;;;;;;;;;S;;N;0
514;1;1;1;4;97;R;M;;;30;0;1;2024-10-15-11.10.11.000000;CARIOS;2025-07-16-17.15.54.000000;DAVIDS.ETC;;S;;N;;;;;;0;;;379;;;;;;;;;S;;;5453151;;S;0;;;;;;;;;;;S;;N;0
587;1;12;12;4;106;R;M;;;18;0;1;2024-10-17-17.30.48.000000;LUSENA;2025-09-15-09.26.33.000000;GADELE;;S;;N;;;;;;0;;;261;;;;;;;;;S;;;5453151;;S;0;;;;;;;;;;;S;;N;0
590;1;1;1;4;998;R;M;;;0;0;1;2024-10-17-17.49.26.000000;LUSENA;2025-02-14-15.17.43.000000;LUSENA;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
592;1;1;1;4;998;R;M;;;0;0;1;2024-10-18-09.17.10.000000;LUSENA;2025-02-14-15.49.15.000000;LUSENA;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
680;1;12;12;5;1;R;M;;;18;0;1;2024-10-22-10.27.25.000000;CARIOS;2025-09-15-09.26.34.000000;GADELE;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
