SEQTITULO;NROEMPRESAMAE;CODESPECIE;TIPOESPECIE;NROBANCO;SEQAGENCIA;SEQDEPOSITARIO;NROEMPRESA;SEQGERENTE;SEQVENDEDOR;SEQPESSOA;VERSAOPESSOA;OBRIGDIREITO;NROTITULO;SERIETITULO;NROPARCELA;QTDPARCELA;NRODOCUMENTO;SERIEDOC;ORIGEMDOC;VLRORIGINAL;VLRNOMINAL;VLRPAGO;VLRTARIFA;VLRJUROMORA;PERJUROMORA;PERMULTA;VLRMULTA;DTAVENCIMENTO;TIPOVENCORIGINAL;DTAPROGRAMADA;DTAEMISSAO;DTAINCLUSAO;DTAQUITACAO;DTAMOVIMENTO;QTDCOBRANCA;PROVENIENCIA;ORDENACARGA;NROCARGA;DTACARGA;ACERTADACARGA;ABERTOQUITADO;SITUACAO;SITJURIDICA;OBSERVACAO;GEROUOCRATRASO;GEROUAGENDACOBR;VLRJUROSNEGOC;VLRMULTANEGOC;GERADOSCI;VLRDESCCOMERCIAL;DTAALTERACAO;USUALTERACAO;SEQPESSOANOTA;VERSAOPESSOANOTA;PAGCHEQUEVINC;LOTEPAGTO;PERCADMINISTRACAO;VLRADMINISTRACAO;IMPRIMIUFATURA;IMPRIMIUDUPLICATA;GERADOSCICANCEL;GEROUSERASA;IMPRIMIUBOLETO;LINKERP;NROALTDEPOSITARIO;SEQMOTORISTA;DTAVALNEGOCIACAO;USUNEGOCIACAO;DTANEGOCIACAO;DTAPROMESSANEGOC;USUCOBRANCA;APPORIGEM;GERADOPFIN;EXCLUIDOPFIN;GERANEGSCI;NROAUTELETRONICA;SEQGERACAOSCI;QTDCUPONS;TAXACUPOM;SEQTALAO;ULTSEQMODCARTCOBR;ULTIMAORDEMCARCOBR;DTABASECOBRANCA;DTAGERADOPEFIN;DTAEXCLUIDOPEFIN;DTAVENCIMENTOORIG;MOTIVOALTVENCTOORIG;NROGIFTCARD;NUMERONFSE;INDCONTROLASALDO;NRONSU;SEQEXPFLUXOCAIXA;SEQMOTIVOSUSPLIB;SUSPLIB;DTAALTERACAOSUSPLIB;USUALTERACAOSUSPLIB;IDSESSION;GERAESOCIAL;VLRTARCONVENIO;SEQIDENTIFICADOR;DTAHORAULTENVIOEMAIL;NROPROCIMPORTACAO;SERIENFSE
662023;3;DUPP;T;900;1;2;13;;;14196;0;O;45662;IMP;3;1;45662;1;INTE;223,33;223,33;223,33;0;0;0;0;0;2026-02-23-00.00.00.000000;P;2026-02-23-00.00.00.000000;2026-01-19-00.00.00.000000;2026-02-02-00.00.00.000000;2026-02-23-00.00.00.000000;2026-01-31-00.00.00.000000;0;S;;;;;Q;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;14196;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11415;;;;;;;;;;;
662026;3;DUPP;T;900;1;2;13;;;14196;0;O;45662;IMP;1;1;45662;1;INTE;223,34;223,34;223,34;0;0;0;0;0;2026-02-09-00.00.00.000000;P;2026-02-09-00.00.00.000000;2026-01-19-00.00.00.000000;2026-02-02-00.00.00.000000;2026-02-09-00.00.00.000000;2026-01-31-00.00.00.000000;0;S;;;;;Q;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;14196;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2584;;;;;;;;;;;
662038;3;DUPP;T;900;1;2;20;;;1243;0;O;311515;IMP;1;1;311515;229;INTE;225;225;0;0;0;0;0;0;2025-12-28-00.00.00.000000;P;2025-12-29-00.00.00.000000;2025-11-13-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;1243;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662056;3;DUPP;T;900;1;2;8;;;14212;0;O;1148149;IMP;1;1;1148149;1;INTE;229,04;229,04;229,04;0;0;0;0;0;2026-02-18-00.00.00.000000;P;2026-02-18-00.00.00.000000;2026-01-21-00.00.00.000000;2026-02-02-00.00.00.000000;2026-02-18-00.00.00.000000;2026-01-31-00.00.00.000000;0;S;;;;;Q;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;14212;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8682;;;;;;;;;;;
662062;3;DUPP;T;900;1;2;5;;;17032;0;O;1051614;IMP;2;1;1051614;1;INTE;229,56;229,56;0;0;0;0;0;0;2026-02-06-00.00.00.000000;P;2026-02-06-00.00.00.000000;2026-01-16-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;17032;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662065;3;DUPP;T;900;1;2;12;;;17032;0;O;1051609;IMP;2;1;1051609;1;INTE;229,56;229,56;0;0;0;0;0;0;2026-02-06-00.00.00.000000;P;2026-02-06-00.00.00.000000;2026-01-16-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;17032;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662068;3;DUPP;T;900;1;2;6;;;7191;0;O;37000;IMP;1;1;37000;0;INTE;229,7;229,7;0;0;0;0;0;0;2026-01-12-00.00.00.000000;V;2026-01-12-00.00.00.000000;2026-01-12-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;7191;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662077;3;DUPP;T;900;1;2;3;;;7191;0;O;36998;IMP;1;1;36998;0;INTE;229,8;229,8;0;0;0;0;0;0;2026-01-12-00.00.00.000000;V;2026-01-12-00.00.00.000000;2026-01-12-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;7191;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662080;3;DUPP;T;900;1;2;15;;;7191;0;O;36999;IMP;1;1;36999;0;INTE;229,8;229,8;0;0;0;0;0;0;2026-01-12-00.00.00.000000;V;2026-01-12-00.00.00.000000;2026-01-12-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;7191;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662083;3;DUPP;T;900;1;2;17;;;7191;0;O;37001;IMP;1;1;37001;0;INTE;229,8;229,8;0;0;0;0;0;0;2026-01-12-00.00.00.000000;V;2026-01-12-00.00.00.000000;2026-01-12-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;7191;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662095;3;DUPP;T;900;1;2;8;;;9608;0;O;131528;IMP;1;1;131528;1;INTE;231;231;0;0;0;0;0;0;2026-02-10-00.00.00.000000;P;2026-02-10-00.00.00.000000;2026-01-14-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;9608;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662101;3;DUPP;T;900;1;2;17;;;8438;0;O;22179;IMP;1;1;22179;1;INTE;232,4;232,4;0;0;0;0;0;0;2025-11-20-00.00.00.000000;P;2025-11-20-00.00.00.000000;2025-10-19-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;8438;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662116;3;DUPP;T;900;1;2;4;;;6075;0;O;69282;IMP;3;1;69282;0;INTE;234,34;234,34;0;0;0;0;0;0;2026-02-10-00.00.00.000000;P;2026-02-10-00.00.00.000000;2025-10-22-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;6075;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662119;3;DUPP;T;900;1;2;4;;;6075;0;O;69282;IMP;4;1;69282;0;INTE;234,34;234,34;0;0;0;0;0;0;2026-03-10-00.00.00.000000;P;2026-03-10-00.00.00.000000;2025-10-22-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;6075;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662122;3;DUPP;T;900;1;2;4;;;6075;0;O;69282;IMP;5;1;69282;0;INTE;234,34;234,34;0;0;0;0;0;0;2026-04-10-00.00.00.000000;P;2026-04-10-00.00.00.000000;2025-10-22-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;6075;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662125;3;DUPP;T;900;1;2;4;;;6075;0;O;69282;IMP;6;1;69282;0;INTE;234,34;234,34;0;0;0;0;0;0;2026-05-10-00.00.00.000000;P;2026-05-11-00.00.00.000000;2025-10-22-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;6075;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662128;3;DUPP;T;900;1;2;4;;;6075;0;O;69282;IMP;7;1;69282;0;INTE;234,34;234,34;0;0;0;0;0;0;2026-06-10-00.00.00.000000;P;2026-06-10-00.00.00.000000;2025-10-22-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;6075;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662134;3;DUPP;T;900;1;2;2;;;5714;0;O;14404;IMP;1;1;14404;21;INTE;236,06;236,06;0;0;0;0;0;0;2026-02-06-00.00.00.000000;P;2026-02-06-00.00.00.000000;2025-12-08-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;5714;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662140;3;DUPP;T;900;1;2;7;;;9608;0;O;131313;IMP;1;1;131313;1;INTE;237;237;0;0;0;0;0;0;2026-02-10-00.00.00.000000;P;2026-02-10-00.00.00.000000;2026-01-03-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;9608;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662167;3;DUPP;T;900;1;2;3;;;16038;1;O;822570;IMP;1;1;822570;3;INTE;238,81;238,81;238,81;0;0;0;0;0;2026-02-20-00.00.00.000000;P;2026-02-20-00.00.00.000000;2026-01-16-00.00.00.000000;2026-02-02-00.00.00.000000;2026-02-20-00.00.00.000000;2026-01-31-00.00.00.000000;0;S;;;;;Q;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;16038;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11821;;;;;;;;;;;
662173;3;DUPP;T;900;1;2;11;;;10956;0;O;300639;IMP;1;1;300639;1;INTE;239,8;239,8;0;0;0;0;0;0;2026-02-04-00.00.00.000000;P;2026-02-04-00.00.00.000000;2026-01-07-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;10956;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662182;3;DUPP;T;900;1;2;901;;;5678;0;O;145370;IMP;2;1;145370;0;INTE;239,9;239,9;0;0;0;0;0;0;2025-11-20-00.00.00.000000;P;2025-11-20-00.00.00.000000;2025-09-18-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;5678;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662191;3;DUPP;T;900;1;2;20;;;2153;0;O;261788;IMP;1;1;261788;231;INTE;240;240;0;0;0;0;0;0;2025-07-11-00.00.00.000000;P;2025-07-11-00.00.00.000000;2025-04-21-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;2153;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662194;3;DUPP;T;900;1;2;20;;;15484;0;O;101841;IMP;1;1;101841;1;INTE;240;240;0;0;0;0;0;0;2025-08-05-00.00.00.000000;P;2025-08-05-00.00.00.000000;2025-07-29-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;15484;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662197;3;DUPP;T;900;1;2;20;;;14756;0;O;92955;IMP;1;1;92955;1;INTE;240;240;0;0;0;0;0;0;2025-12-09-00.00.00.000000;P;2025-12-09-00.00.00.000000;2025-12-01-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;14756;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662203;3;DUPP;T;900;1;2;20;;;2821;0;O;67419;IMP;1;1;67419;1;INTE;240;240;0;0;0;0;0;0;2025-12-28-00.00.00.000000;P;2025-12-29-00.00.00.000000;2025-12-23-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;2821;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662206;3;DUPP;T;900;1;2;900;;;4987;0;O;64817999;IMP;1;1;64817999;890;INTE;240;240;0;0;0;0;0;0;2026-02-03-00.00.00.000000;P;2026-02-03-00.00.00.000000;2026-01-26-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;4987;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662209;3;DUPP;T;900;1;2;8;;;4987;0;O;64856563;IMP;1;1;64856563;890;INTE;240;240;0;0;0;0;0;0;2026-02-03-00.00.00.000000;P;2026-02-03-00.00.00.000000;2026-01-27-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;chave pix cnpj 476731710001-45;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;4987;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662233;3;DUPP;T;900;1;2;1;;;5918;1;O;18645;IMP;3;1;18645;1;INTE;241;241;0;0;0;0;0;0;2026-03-15-00.00.00.000000;P;2026-03-16-00.00.00.000000;2025-12-15-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;5918;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662248;3;DUPP;T;900;1;2;5;;;14196;0;O;45667;IMP;1;1;45667;1;INTE;245,66;245,66;245,66;0;0;0;0;0;2026-02-09-00.00.00.000000;P;2026-02-09-00.00.00.000000;2026-01-19-00.00.00.000000;2026-02-02-00.00.00.000000;2026-02-09-00.00.00.000000;2026-01-31-00.00.00.000000;0;S;;;;;Q;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;14196;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2586;;;;;;;;;;;
662254;3;DUPP;T;900;1;2;5;;;14196;0;O;45667;IMP;2;1;45667;1;INTE;245,67;245,67;0;0;0;0;0;0;2026-02-16-00.00.00.000000;P;2026-02-16-00.00.00.000000;2026-01-19-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;14196;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14326;;;;;;;;;;;
662263;3;DUPP;T;900;1;2;1;;;13547;0;O;12546;IMP;1;1;12546;1;INTE;246;246;246;0;0;0;0;0;2026-02-07-00.00.00.000000;P;2026-02-09-00.00.00.000000;2026-01-08-00.00.00.000000;2026-02-02-00.00.00.000000;2026-02-09-00.00.00.000000;2026-01-31-00.00.00.000000;0;S;;;;;Q;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;13547;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2587;;;;;;;;;;;
662266;3;DUPP;T;900;1;2;8;;;9608;0;O;131375;IMP;1;1;131375;1;INTE;246;246;0;0;0;0;0;0;2026-02-10-00.00.00.000000;P;2026-02-10-00.00.00.000000;2026-01-07-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;9608;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662284;3;DUPP;T;900;1;2;20;;;8094;0;O;28716;IMP;1;1;28716;3;INTE;248;248;0;0;0;0;0;0;2025-11-22-00.00.00.000000;P;2025-11-24-00.00.00.000000;2025-11-07-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;8094;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662287;3;DUPP;T;900;1;2;20;;;8094;0;O;28799;IMP;1;1;28799;3;INTE;248;248;0;0;0;0;0;0;2025-11-29-00.00.00.000000;P;2025-12-01-00.00.00.000000;2025-11-14-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;8094;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
