SEQFAMILIA;SEQCATEGORIA;NRODIVISAO;STATUS;INDREPLICACAO;INDGEROUREPLICACAO;DTABASEEXPORTACAO;NROBASEEXPORTACAO;DATAHORAALTERACAO;DATAHORAINTEGRAECOMMERCE;USUARIOALTERACAO;SEQCORRESPONDENCIA;NROBASEEXPORTACAOERP
275;2181;1;A;S;;2024-09-26-16.53.45.000000;1609401;2024-09-26-16.53.45.000000;;LUSENA;;
275;2130;1;A;S;;2024-09-26-16.53.45.000000;1609401;2024-09-26-16.53.45.000000;;LUSENA;;
275;2118;1;A;S;;2024-09-26-16.53.45.000000;1609401;2024-09-26-16.53.45.000000;;LUSENA;;
275;2117;1;A;S;;2024-09-26-16.53.45.000000;1609401;2024-09-26-16.53.45.000000;;LUSENA;;
275;2114;1;A;S;;2024-09-26-16.53.45.000000;1609401;2024-09-26-16.53.45.000000;;LUSENA;;
282;1;1;I;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
282;2;1;I;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
282;3;1;A;S;;2024-09-26-17.10.30.000000;1609600;2024-09-26-17.10.30.000000;;CARIOS;;
282;4;1;A;S;;2024-09-26-17.10.30.000000;1609600;2024-09-26-17.10.30.000000;;CARIOS;;
282;5;1;A;S;;2024-09-26-17.10.30.000000;1609600;2024-09-26-17.10.30.000000;;CARIOS;;
282;6;1;A;S;;2024-09-26-17.10.30.000000;1609600;2024-09-26-17.10.30.000000;;CARIOS;;
283;1;1;I;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
283;2;1;I;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
283;3;1;A;S;;2024-09-26-17.25.18.000000;1609776;2024-09-26-17.25.18.000000;;CARIOS;;
283;4;1;A;S;;2024-09-26-17.25.18.000000;1609776;2024-09-26-17.25.18.000000;;CARIOS;;
283;5;1;A;S;;2024-09-26-17.25.18.000000;1609776;2024-09-26-17.25.18.000000;;CARIOS;;
283;6;1;A;S;;2024-09-26-17.25.18.000000;1609776;2024-09-26-17.25.18.000000;;CARIOS;;
284;1;1;I;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
284;2;1;I;S;;2024-09-27-09.16.39.000000;1621059;2024-09-27-09.16.39.000000;;CARIOS;;
284;3;1;A;S;;2024-09-26-17.57.04.000000;1610153;2024-09-26-17.57.04.000000;;CARIOS;;
284;4;1;A;S;;2024-09-26-17.57.04.000000;1610153;2024-09-26-17.57.04.000000;;CARIOS;;
284;5;1;A;S;;2024-09-26-17.57.04.000000;1610153;2024-09-26-17.57.04.000000;;CARIOS;;
284;6;1;A;S;;2024-09-26-17.57.04.000000;1610153;2024-09-26-17.57.04.000000;;CARIOS;;
285;1;1;I;S;;2024-09-27-09.16.39.000000;1621059;2024-09-27-09.16.39.000000;;CARIOS;;
285;2;1;I;S;;2024-09-27-09.16.39.000000;1621059;2024-09-27-09.16.39.000000;;CARIOS;;
285;3;1;A;S;;2024-09-27-09.16.02.000000;1621052;2024-09-27-09.16.02.000000;;CARIOS;;
285;4;1;A;S;;2024-09-27-09.16.02.000000;1621052;2024-09-27-09.16.02.000000;;CARIOS;;
285;5;1;A;S;;2024-09-27-09.16.02.000000;1621052;2024-09-27-09.16.02.000000;;CARIOS;;
285;6;1;A;S;;2024-09-27-09.16.02.000000;1621052;2024-09-27-09.16.02.000000;;CARIOS;;
276;2156;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
276;2124;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
276;2118;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
276;2117;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
276;2114;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
278;2156;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
278;2124;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
278;2118;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
278;2117;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
278;2114;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
280;2156;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
280;2124;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
280;2118;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
280;2117;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
280;2114;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
281;2156;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
281;2124;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
281;2118;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
281;2117;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
281;2114;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
282;2156;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
282;2124;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
282;2118;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
282;2117;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
282;2114;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
283;2156;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
283;2124;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
283;2118;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
283;2117;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
283;2114;1;A;S;;2024-09-27-09.16.38.000000;1621059;2024-09-27-09.16.38.000000;;CARIOS;;
284;2156;1;A;S;;2024-09-27-09.16.39.000000;1621059;2024-09-27-09.16.39.000000;;CARIOS;;
284;2124;1;A;S;;2024-09-27-09.16.39.000000;1621059;2024-09-27-09.16.39.000000;;CARIOS;;
284;2118;1;A;S;;2024-09-27-09.16.39.000000;1621059;2024-09-27-09.16.39.000000;;CARIOS;;
284;2117;1;A;S;;2024-09-27-09.16.39.000000;1621059;2024-09-27-09.16.39.000000;;CARIOS;;
284;2114;1;A;S;;2024-09-27-09.16.39.000000;1621059;2024-09-27-09.16.39.000000;;CARIOS;;
